INDLABEL,LONG,LAT
44830,129.088,-16.067
45438,128.142,-15.587
61109,128.142,-15.587
61111,128.142,-15.587
61126,128.142,-15.587
61127,128.142,-15.587
61128,128.142,-15.587
61130,128.142,-15.587
61131,128.142,-15.587
61132,128.142,-15.587
61137,128.142,-15.587
61138,128.142,-15.587
61147,128.142,-15.587
61157,128.142,-15.587
61161,128.142,-15.587
61175,128.142,-15.587
61184,128.142,-15.587
61185,128.142,-15.587
61196,128.142,-15.587
61316,128.142,-15.587
61317,128.142,-15.587
61329,128.142,-15.587
61338,128.142,-15.587
61345,128.142,-15.587
61351,128.142,-15.587
61374,128.142,-15.587
61527,128.142,-15.587
61538,128.142,-15.587
61701,128.142,-15.587
61739,128.142,-15.587
61772,128.142,-15.587
61794,128.142,-15.587
61851,128.142,-15.587
61894,128.142,-15.587
61933,128.142,-15.587
69162,128.142,-15.587
69535,128.142,-15.587
69548,128.142,-15.587
69701,128.142,-15.587
69702,128.142,-15.587
73780,134.86,-16.631
73782,134.86,-16.631
73783,134.86,-16.631
73787,134.86,-16.631
73788,134.86,-16.631
73790,134.86,-16.631
73791,134.86,-16.631
73792,134.86,-16.631
73900,134.86,-16.631
73903,134.86,-16.631
73907,134.86,-16.631
73908,134.86,-16.631
73917,134.86,-16.631
73920,134.86,-16.631
73933,134.86,-16.631
73936,134.86,-16.631
73937,134.86,-16.631
73938,134.86,-16.631
73940,134.86,-16.631
73942,134.86,-16.631
73945,134.86,-16.631
73946,134.86,-16.631
73948,134.86,-16.631
73953,134.86,-16.631
73955,134.86,-16.631
73958,134.86,-16.631
73959,134.86,-16.631
73960,134.86,-16.631
73966,134.86,-16.631
73972,134.86,-16.631
74164,129.088,-16.067
74165,129.088,-16.067
74166,129.088,-16.067
74168,129.088,-16.067
74171,129.088,-16.067
AG01,130.26,-15.636
AG02,130.26,-15.636
AG03,130.26,-15.636
AG04,130.26,-15.636
AG05,130.26,-15.636
AG06,130.26,-15.636
AG07,130.26,-15.636
AG08,130.26,-15.636
AG10,130.26,-15.636
AG11,130.26,-15.636
AG12,130.26,-15.636
AG13,130.26,-15.636
AG14,130.26,-15.636
AG15,130.26,-15.636
AG16,130.26,-15.636
AG17,130.26,-15.636
AG18,130.26,-15.636
AG19,130.26,-15.636
AG20,130.26,-15.636
AG21,130.26,-15.636
AG22,130.26,-15.636
AG23,130.26,-15.636
AG24,130.26,-15.636
AG25,130.26,-15.636
AG26,130.26,-15.636
AG27,130.26,-15.636
AG28,130.26,-15.636
AG29,130.26,-15.636
AG62,130.26,-15.636
AG63,130.26,-15.636
AQ03,128.623,-15.75
AQ04,128.623,-15.75
AQ06,128.623,-15.75
AQ07,128.623,-15.75
AQ100,128.623,-15.75
AQ101,128.623,-15.75
AQ102,128.623,-15.75
AQ12,128.623,-15.75
AQ14,128.623,-15.75
AQ15,128.623,-15.75
AQ16,128.623,-15.75
AQ17,128.623,-15.75
AQ20,128.623,-15.75
AQ21,128.623,-15.75
AQ22,128.623,-15.75
AQ24,128.623,-15.75
AQ25,128.623,-15.75
AQ27,128.623,-15.75
AQ29,128.623,-15.75
AQ30,128.623,-15.75
AQ31,128.623,-15.75
AQ32,128.623,-15.75
AQ33,128.623,-15.75
AQ34,128.623,-15.75
AQ35,128.623,-15.75
AQ36,128.623,-15.75
AQ37,128.623,-15.75
AQ38,128.623,-15.75
AQ39,128.623,-15.75
AQ41,128.623,-15.75
AQ42,128.623,-15.75
AQ46,128.623,-15.75
AQ47,128.623,-15.75
AQ48,128.623,-15.75
AQ50,128.623,-15.75
AQ51,128.623,-15.75
AQ53,128.623,-15.75
AQ54,128.623,-15.75
AQ55,128.623,-15.75
AQ56,128.623,-15.75
AQ57,128.623,-15.75
AQ58,128.623,-15.75
AQ59,128.623,-15.75
AQ61,128.623,-15.75
AQ62,128.623,-15.75
AQ63,128.623,-15.75
AQ64,128.623,-15.75
AQ65,128.623,-15.75
AQ66,128.623,-15.75
AQ68,128.623,-15.75
AQ72,128.623,-15.75
AQ76,128.623,-15.75
AQ78,128.623,-15.75
AQ79,128.623,-15.75
AQ80,128.623,-15.75
AQ84,128.623,-15.75
AQ99,128.623,-15.75
BH01,128.675,-15.77
BH02,128.675,-15.77
BH03,128.675,-15.77
BH04,128.675,-15.77
BH05,128.675,-15.77
BH06,128.675,-15.77
BH07,128.675,-15.77
BH08,128.675,-15.77
BH09,128.675,-15.77
BH11,128.675,-15.77
BH13,128.675,-15.77
BH14,128.675,-15.77
BH15,128.675,-15.77
BH16,128.675,-15.77
BH17,128.675,-15.77
BH18,128.675,-15.77
BH19,128.675,-15.77
BH20,128.675,-15.77
BH21,128.675,-15.77
BH22,128.675,-15.77
BH23,128.675,-15.77
BH25,128.675,-15.77
BH26,128.675,-15.77
BH27,128.675,-15.77
BH28,128.675,-15.77
BH29,128.675,-15.77
BH30,128.675,-15.77
BH31,128.675,-15.77
BH34,128.675,-15.77
BH35,128.675,-15.77
BH36,128.675,-15.77
BH37,128.675,-15.77
BH39,128.675,-15.77
BH41,128.675,-15.77
BH42,128.675,-15.77
BH43,128.675,-15.77
BH44,128.675,-15.77
BH45,128.675,-15.77
BH46,128.675,-15.77
BH48,128.675,-15.77
BH49,128.675,-15.77
BH50,128.675,-15.77
BH51,128.675,-15.77
BH52,128.675,-15.77
BH53,128.675,-15.77
BH55,128.675,-15.77
BH57,128.675,-15.77
BH58,128.675,-15.77
BH59,128.675,-15.77
BH61,128.675,-15.77
BH63,128.675,-15.77
BH64,128.675,-15.77
BH65,128.675,-15.77
BH66,128.675,-15.77
BH67,128.675,-15.77
BH68,128.675,-15.77
BH69,128.675,-15.77
BH76,128.675,-15.77
BH84,128.675,-15.77
BR01,122.741,-17.846
BR02,122.741,-17.846
BR03,122.741,-17.846
BR04,122.854,-17.774
BR05,122.854,-17.774
CH01,139.446,-19.387
CH02,139.446,-19.387
CH03,139.446,-19.387
CH04,139.446,-19.387
CH05,139.446,-19.387
CH06,139.446,-19.387
CH07,139.446,-19.387
CH08,139.446,-19.387
CH09,139.446,-19.387
CH10,139.446,-19.387
CH11,139.446,-19.387
CH12,139.446,-19.387
CH13,139.446,-19.387
CH14,139.446,-19.387
CH15,139.446,-19.387
CH16,139.446,-19.387
CH17,139.446,-19.387
CH18,139.446,-19.387
CH19,139.446,-19.387
CH20,139.446,-19.387
CI01,128.395,-15.862
CI02,128.395,-15.862
CI03,128.395,-15.862
CI04,128.395,-15.862
CI05,128.395,-15.862
CI06,128.395,-15.862
CI07,128.395,-15.862
CI08,128.395,-15.862
CI09,128.395,-15.862
CI10,128.395,-15.862
CI11,128.395,-15.862
CI12,128.395,-15.862
CI13,128.395,-15.862
CI14,128.395,-15.862
CI15,128.395,-15.862
CI16,128.395,-15.862
CI17,128.395,-15.862
CI18,128.395,-15.862
CI19,128.395,-15.862
CI20,128.395,-15.862
CI21,128.395,-15.862
CI22,128.395,-15.862
CI23,128.395,-15.862
CI24,128.395,-15.862
CI25,128.395,-15.862
CI26,128.395,-15.862
CI27,128.395,-15.862
CI28,128.395,-15.862
CI29,128.395,-15.862
CI30,128.395,-15.862
CI31,128.395,-15.862
CI32,128.395,-15.862
CI33,128.395,-15.862
CI34,128.395,-15.862
CI35,128.395,-15.862
CI36,128.395,-15.862
CI37,128.395,-15.862
CI38,128.395,-15.862
CI39,128.395,-15.862
CI40,128.395,-15.862
CI43,128.395,-15.862
CI45,128.395,-15.862
CI46,128.395,-15.862
CI47,128.395,-15.862
CI48,128.395,-15.862
CI49,128.395,-15.862
CI50,128.395,-15.862
CI51,128.395,-15.862
CI52,128.395,-15.862
CI57,128.395,-15.862
CI59,128.395,-15.862
CI62,128.395,-15.862
CI65,128.395,-15.862
CI68,128.395,-15.862
CI71,128.395,-15.862
CI72,128.395,-15.862
CI73,128.395,-15.862
CI74,128.395,-15.862
CI77,128.395,-15.862
CI78,128.395,-15.862
CO01,130.775,-15.768
CO02,130.775,-15.768
CO03,130.775,-15.768
CO04,130.775,-15.768
CO05,130.775,-15.768
CO06,130.775,-15.768
CO07,130.775,-15.768
CO08,130.775,-15.768
CO09,130.775,-15.768
CO10,130.775,-15.768
CO11,130.775,-15.768
CO12,130.775,-15.768
CO13,130.775,-15.768
CO14,130.775,-15.768
CO15,130.775,-15.768
CO16,130.775,-15.768
CO17,130.775,-15.768
CO18,130.775,-15.768
CO19,130.775,-15.768
CO20,130.775,-15.768
CO21,130.775,-15.768
CO22,130.775,-15.768
CO23,130.775,-15.768
DD01,128.05,-16.314
EB01,126.934,-15.983
EB02,126.934,-15.983
EB03,126.934,-15.983
EB04,126.934,-15.983
EB05,126.934,-15.983
EB06,126.934,-15.983
EB07,126.934,-15.983
EB08,126.934,-15.983
EB09,126.934,-15.983
EB10,126.934,-15.983
EB11,126.934,-15.983
EB12,126.934,-15.983
EB13,126.934,-15.983
EB14,126.934,-15.983
EB15,126.934,-15.983
EB16,126.934,-15.983
EL01,127.146,-15.975
EL02,127.146,-15.975
EL03,127.146,-15.975
EL04,127.146,-15.975
EL05,127.146,-15.975
EL06,127.146,-15.975
EL07,127.146,-15.975
EL08,127.146,-15.975
EL09,127.146,-15.975
EL10,127.146,-15.975
EQ01,128.015,-15.948
EQ02,128.015,-15.948
EQ03,128.015,-15.948
EQ04,128.015,-15.948
EQ05,128.015,-15.948
EQ06,128.015,-15.948
EQ07,128.015,-15.948
EQ08,128.015,-15.948
EQ09,128.015,-15.948
EQ10,128.015,-15.948
EQ11,128.015,-15.948
EQ12,128.015,-15.948
EQ13,128.015,-15.948
EQ14,128.015,-15.948
EQ15,128.015,-15.948
EQ16,128.015,-15.948
EQ17,128.015,-15.948
EQ18,128.015,-15.948
EQ19,128.015,-15.948
EQ20,128.015,-15.948
EQ21,128.015,-15.948
EQ22,128.015,-15.948
EQ23,128.015,-15.948
EQ24,128.015,-15.948
EQ25,128.015,-15.948
EQ26,128.015,-15.948
EQ27,128.015,-15.948
FT02,128.53,-15.794
FT03,128.53,-15.794
FT04,128.53,-15.794
FT06,128.53,-15.794
FT07,128.53,-15.794
FT09,128.53,-15.794
FT10,128.53,-15.794
FT100,128.53,-15.794
FT101,128.53,-15.794
FT102,128.53,-15.794
FT103,128.53,-15.794
FT104,128.53,-15.794
FT105,128.53,-15.794
FT106,128.53,-15.794
FT107,128.53,-15.794
FT108,128.53,-15.794
FT11,128.53,-15.794
FT117,128.53,-15.794
FT118,128.53,-15.794
FT12,128.53,-15.794
FT13,128.53,-15.794
FT14,128.53,-15.794
FT15,128.53,-15.794
FT16,128.53,-15.794
FT17,128.53,-15.794
FT18,128.53,-15.794
FT20,128.53,-15.794
FT21,128.53,-15.794
FT22,128.53,-15.794
FT23,128.53,-15.794
FT24,128.53,-15.794
FT25,128.53,-15.794
FT26,128.53,-15.794
FT28,128.53,-15.794
FT29,128.53,-15.794
FT30,128.53,-15.794
FT31,128.53,-15.794
FT33,128.53,-15.794
FT34,128.53,-15.794
FT35,128.53,-15.794
FT36,128.53,-15.794
FT37,128.53,-15.794
FT38,128.53,-15.794
FT39,128.53,-15.794
FT40,128.53,-15.794
FT41,128.53,-15.794
FT42,128.53,-15.794
FT46,128.53,-15.794
FT47,128.53,-15.794
FT48,128.53,-15.794
FT49,128.53,-15.794
FT50,128.53,-15.794
FT53,128.53,-15.794
FT54,128.53,-15.794
FT55,128.53,-15.794
FT56,128.53,-15.794
FT59,128.53,-15.794
FT62,128.53,-15.794
FT63,128.53,-15.794
FT66,128.53,-15.794
FT67,128.53,-15.794
FT69,128.53,-15.794
FT71,128.53,-15.794
FT72,128.53,-15.794
FT77,128.53,-15.794
FT80,128.53,-15.794
FT81,128.53,-15.794
FT86,128.53,-15.794
FT87,128.53,-15.794
FT88,128.53,-15.794
FT89,128.53,-15.794
FT90,128.53,-15.794
FT91,128.53,-15.794
FT92,128.53,-15.794
FT93,128.53,-15.794
FT94,128.53,-15.794
FT95,128.53,-15.794
FT96,128.53,-15.794
FT97,128.53,-15.794
FT98,128.53,-15.794
G0122,125.59,-17.051
G0132,125.59,-17.051
G0153,125.59,-17.051
G0185,125.59,-17.051
G0193,125.59,-17.051
G0206,125.59,-17.051
G0248,125.59,-17.051
G0264,125.59,-17.051
G0300,125.59,-17.051
G0774,125.59,-17.051
G101,125.59,-17.051
G107,125.59,-17.051
G111,125.59,-17.051
G115,125.59,-17.051
G118,125.59,-17.051
G131,125.59,-17.051
G133,125.59,-17.051
G163,125.59,-17.051
G169,125.59,-17.051
G183,125.59,-17.051
G250,127.506,-15.822
G276,127.506,-15.822
